Sample	Condition_UPF3B	Condition_UPF3A	Please_Label	Group
212	Control	Control	S2_Vect_A	Control
213	Control	Knockdown	S2_shRNA_A	UPF3A_KD
214	Control	Overexpression	S2_cDNA_A	UPF3A_OE
215	Knockdown	Control	T2_Vect_A	UPF3B_KD
216	Knockdown	Knockdown	T2_shRNA_A	UPF3A_KD_UPF3B_KD
217	Knockdown	Overexpression	T2_cDNA_A	UPF3A_OE_UPF3B_KD
218	Control	Control	S2_Vect_B	Control
219	Control	Knockdown	S2_shRNA_B	UPF3A_KD
220	Control	Overexpression	S2_cDNA_B	UPF3A_OE
221	Knockdown	Control	T2_Vect_B	UPF3B_KD
222	Knockdown	Knockdown	T2_shRNA_B	UPF3A_KD_UPF3B_KD
223	Knockdown	Overexpression	T2_cDNA_B	UPF3A_OE_UPF3B_KD
224	Control	Control	S2_Vect_C	Control
225	Control	Knockdown	S2_shRNA_C	UPF3A_KD
226	Control	Overexpression	S2_cDNA_C	UPF3A_OE
227	Knockdown	Control	T2_Vect_C	UPF3B_KD
228	Knockdown	Knockdown	T2_shRNA_C	UPF3A_KD_UPF3B_KD
229	Knockdown	Overexpression	T2_cDNA_C	UPF3A_OE_UPF3B_KD
