Label,FileName,ReadType,Batch
Control_Rep1_212,212.consExons.counts.txt,exonic,1
Control_Rep1_212,212.Introns.counts.txt,intronic,1
UPF3AKD_Rep1_213,213.consExons.counts.txt,exonic,1
UPF3AKD_Rep1_213,213.Introns.counts.txt,intronic,1
UPF3A_OE_Rep1_214,214.consExons.counts.txt,exonic,1
UPF3A_OE_Rep1_214,214.Introns.counts.txt,intronic,1
UPF3BKD_Rep1_215,215.consExons.counts.txt,exonic,1
UPF3BKD_Rep1_215,215.Introns.counts.txt,intronic,1
UPF3dKD_Rep1_216,216.consExons.counts.txt,exonic,1
UPF3dKD_Rep1_216,216.Introns.counts.txt,intronic,1
UPF3AOE_BKD_Rep1_217,217.consExons.counts.txt,exonic,1
UPF3AOE_BKD_Rep1_217,217.Introns.counts.txt,intronic,1
Control_Rep2_218,218.consExons.counts.txt,exonic,1
Control_Rep2_218,218.Introns.counts.txt,intronic,1
UPF3AKD_Rep2_219,219.consExons.counts.txt,exonic,1
UPF3AKD_Rep2_219,219.Introns.counts.txt,intronic,1
UPF3A_OE_Rep2_220,220.consExons.counts.txt,exonic,1
UPF3A_OE_Rep2_220,220.Introns.counts.txt,intronic,1
UPF3BKD_Rep2_221,221.consExons.counts.txt,exonic,1
UPF3BKD_Rep2_221,221.Introns.counts.txt,intronic,1
UPF3dKD_Rep2_222,222.consExons.counts.txt,exonic,1
UPF3dKD_Rep2_222,222.Introns.counts.txt,intronic,1
UPF3AOE_BKD_Rep2_223,223.consExons.counts.txt,exonic,1
UPF3AOE_BKD_Rep2_223,223.Introns.counts.txt,intronic,1
Control_Rep3_224,224.consExons.counts.txt,exonic,1
Control_Rep3_224,224.Introns.counts.txt,intronic,1
UPF3AKD_Rep3_225,225.consExons.counts.txt,exonic,1
UPF3AKD_Rep3_225,225.Introns.counts.txt,intronic,1
UPF3A_OE_Rep3_226,226.consExons.counts.txt,exonic,1
UPF3A_OE_Rep3_226,226.Introns.counts.txt,intronic,1
UPF3BKD_Rep3_227,227.consExons.counts.txt,exonic,1
UPF3BKD_Rep3_227,227.Introns.counts.txt,intronic,1
UPF3dKD_Rep3_228,228.consExons.counts.txt,exonic,1
UPF3dKD_Rep3_228,228.Introns.counts.txt,intronic,1
UPF3AOE_BKD_Rep3_229,229.consExons.counts.txt,exonic,1
UPF3AOE_BKD_Rep3_229,229.Introns.counts.txt,intronic,1
