mgi_id,hgnc_symbol,hgnc_id,con,go_con,gene_con,rel_go,frac_rel_go
MGI:2152214,PIP4K2C,23786,18,15.0,3,0,0.0
MGI:96606,ITGAL,6148,21,19.0,2,0,0.0
MGI:700011,SH3GL3,10832,8,6.0,2,0,0.0
MGI:1919769,PIP4P2,25452,8,7.0,1,0,0.0
MGI:94917,DPEP1,3002,20,19.0,1,0,0.0
MGI:1859646,GOLGA4,4427,11,10.0,1,0,0.0
MGI:1914323,PI4K2B,18215,13,12.0,1,0,0.0
MGI:1914291,OXCT1,8527,4,3.0,1,0,0.0
MGI:97531,PDGFRB,8804,38,37.0,1,0,0.0
MGI:96602,ITGA3,6139,29,28.0,1,0,0.0
MGI:94906,DMPK,2933,13,12.0,1,0,0.0
MGI:1923437,ADHFE1,16354,5,4.0,1,0,0.0
MGI:1917084,RAB43,19983,13,12.0,1,0,0.0
MGI:2444031,ALG6,23157,7,6.0,1,0,0.0
MGI:2385305,KLHL36,17844,2,2.0,0,1,0.5
MGI:1934765,GPNMB,4462,17,17.0,0,0,0.0
MGI:1349450,VAT1,16919,4,4.0,0,0,0.0
MGI:1349429,ARL2BP,17146,9,9.0,0,0,0.0
MGI:1261864,WIPI1,25471,25,25.0,0,0,0.0
MGI:1916801,C1orf198,25900,1,1.0,0,0,0.0
MGI:2137679,SFXN3,16087,5,5.0,0,0,0.0
MGI:1858227,CDKL2,1782,5,5.0,0,0,0.0
MGI:2444773,MAVS,29233,40,40.0,0,0,0.0
MGI:2386052,CERK,19256,7,7.0,0,0,0.0
MGI:2153044,ELMO1,16286,12,12.0,0,0,0.0
MGI:1926005,PABIR2,30490,0,,0,0,0.0
MGI:1277103,NUDCD2,30535,8,8.0,0,0,0.0
MGI:109568,WBP4,12739,10,10.0,0,0,0.0
MGI:2135760,SGPP1,17720,5,5.0,0,0,0.0
MGI:2138935,EEIG1,31419,1,1.0,0,0,0.0
MGI:105940,RENBP,9959,7,7.0,0,0,0.0
MGI:1919154,PAQR7,23146,5,5.0,0,0,0.0
MGI:1100500,FLOT1,3757,46,46.0,0,0,0.0
MGI:107285,CTSH,2535,34,34.0,0,0,0.0
MGI:1341799,NDRG1,7679,19,19.0,0,0,0.0
MGI:1919254,C1QTNF1,14324,9,9.0,0,0,0.0
MGI:1930704,BHLHE41,16617,14,14.0,0,0,0.0
MGI:894659,HBP1,23200,7,7.0,0,0,0.0
MGI:894668,SERPINB9,8955,19,19.0,0,0,0.0
MGI:2652817,MTMR11,24307,3,3.0,0,0,0.0
MGI:1196217,TCAIM,25241,1,1.0,0,0,0.0
MGI:1921518,AVEN,13509,4,4.0,0,0,0.0
MGI:104960,TNFAIP2,11895,5,5.0,0,0,0.0
MGI:88077,ARSA,713,5,5.0,0,0,0.0
MGI:1923035,KLHL24,25947,8,8.0,0,0,0.0
MGI:1341909,LY96,17156,11,11.0,0,0,0.0
MGI:2447813,SERAC1,21061,5,5.0,0,0,0.0
MGI:103007,EPB41L4A,13278,2,2.0,0,0,0.0
MGI:2176380,MLPH,29643,9,9.0,0,0,0.0
MGI:1913451,VTA1,20954,8,8.0,0,0,0.0
MGI:2388637,WWC1,29435,16,16.0,0,0,0.0
MGI:1925584,CDK19,19338,5,5.0,0,0,0.0
MGI:2685420,ATG9B,21899,7,7.0,0,0,0.0
MGI:1347054,GNPDA1,4417,10,10.0,0,0,0.0
MGI:1914103,PNPLA2,30802,17,17.0,0,0,0.0
MGI:1859016,DDAH2,2716,3,3.0,0,0,0.0
MGI:1920717,C2orf69,26799,2,2.0,0,0,0.0
MGI:1921241,ATL1,11231,10,10.0,0,0,0.0
MGI:1917631,TECPR1,22214,10,10.0,0,0,0.0
MGI:2449973,TBC1D17,25699,5,5.0,0,0,0.0
MGI:1914470,PLEKHO1,24310,4,4.0,0,0,0.0
MGI:1914515,SLC39A10,20861,8,8.0,0,0,0.0
MGI:1915485,MTURN,25457,7,7.0,0,0,0.0
MGI:2444572,BEND6,20871,4,4.0,0,0,0.0
MGI:2146009,DENND3,29134,3,3.0,0,0,0.0
MGI:2679732,SLC9A9,20653,10,10.0,0,0,0.0
MGI:2144423,ARHGAP44,29096,13,13.0,0,0,0.0
MGI:2673874,P2RY6,8543,11,11.0,0,0,0.0
