mgi_id,hgnc_symbol,hgnc_id,go_name,go_id,go_domain,ncon_gene,ncon_go,global_padj,gene_padj,pval,sim,sem_sim,cilow_global_padj,ciupp_global_padj,cilow_gene_padj,ciupp_gene_padj,cilow_pval,ciupp_pval
MGI:1934765,GPNMB,4462,negative regulation of T cell proliferation,GO:0042130,biological process,17,9.0,3.104e-01,2.918e-01,4.856e-02,7.264e-01,4.584e-02,2.120e-01,4.543e-01,1.195e-01,7.125e-01,2.252e-02,1.047e-01
MGI:1934765,GPNMB,4462,positive regulation of protein autophosphorylation,GO:0031954,biological process,17,4.0,3.189e-01,2.918e-01,4.894e-02,7.203e-01,7.291e-02,2.067e-01,4.921e-01,1.195e-01,7.125e-01,1.494e-02,1.603e-01
MGI:1934765,GPNMB,4462,negative regulation of T cell activation,GO:0050868,biological process,17,10.0,3.446e-01,3.455e-01,1.152e-01,5.940e-01,4.458e-02,2.268e-01,5.236e-01,1.830e-01,6.522e-01,6.076e-02,2.184e-01
MGI:1934765,GPNMB,4462,membrane,GO:0016020,cellular component,17,28.0,3.941e-01,3.507e-01,1.788e-01,5.135e-01,6.250e-02,2.362e-01,6.575e-01,1.894e-01,6.493e-01,8.278e-02,3.864e-01
MGI:1934765,GPNMB,4462,positive regulation of protein phosphorylation,GO:0001934,biological process,17,13.0,4.113e-01,3.693e-01,1.871e-01,4.995e-01,7.664e-02,2.448e-01,6.910e-01,2.119e-01,6.438e-01,6.798e-02,5.148e-01
MGI:1934765,GPNMB,4462,signal transduction,GO:0007165,biological process,17,44.0,4.137e-01,3.689e-01,2.062e-01,4.847e-01,6.695e-02,2.455e-01,6.970e-01,2.114e-01,6.439e-01,9.151e-02,4.647e-01
MGI:1934765,GPNMB,4462,positive regulation of cell migration,GO:0030335,biological process,17,27.0,4.138e-01,3.797e-01,1.941e-01,4.979e-01,6.374e-02,2.582e-01,6.631e-01,2.072e-01,6.958e-01,9.149e-02,4.119e-01
MGI:1934765,GPNMB,4462,integrin binding,GO:0005178,molecular function,17,7.0,4.165e-01,3.860e-01,2.028e-01,4.961e-01,3.904e-02,2.932e-01,5.918e-01,2.106e-01,7.077e-01,1.248e-01,3.293e-01
MGI:1934765,GPNMB,4462,cell adhesion,GO:0007155,biological process,17,9.0,4.255e-01,3.293e-01,1.521e-01,5.254e-01,1.068e-01,2.583e-01,7.011e-01,1.317e-01,8.238e-01,3.246e-02,7.127e-01
MGI:1934765,GPNMB,4462,heparin binding,GO:0008201,molecular function,17,3.0,4.542e-01,3.881e-01,2.279e-01,4.621e-01,7.382e-02,2.851e-01,7.236e-01,2.098e-01,7.179e-01,9.408e-02,5.521e-01
