mgi_id,hgnc_symbol,hgnc_id,con,go_con,gene_con,rel_go,frac_rel_go
MGI:1346831,ESRRA,3471,52,16.0,36,0,0.0
MGI:96756,LCK,6524,66,38.0,28,0,0.0
MGI:99517,HSPA1B,5233,72,52.0,20,0,0.0
MGI:96244,HSPA1B,5233,72,52.0,20,0,0.0
MGI:96606,ITGAL,6148,37,19.0,18,0,0.0
MGI:96602,ITGA3,6139,46,28.0,18,0,0.0
MGI:88158,BGN,1044,24,7.0,17,0,0.0
MGI:95574,FOS,3796,41,25.0,16,0,0.0
MGI:2448425,H4C11,4785,29,13.0,16,0,0.0
MGI:2448419,H4C15,29607,29,13.0,16,0,0.0
MGI:1100500,FLOT1,3757,61,46.0,15,0,0.0
MGI:88467,COL1A1,2197,43,28.0,15,0,0.0
MGI:96616,ITGB7,6162,34,20.0,14,0,0.0
MGI:98737,THBS1,11785,89,75.0,14,0,0.0
MGI:88457,COL5A1,2209,33,19.0,14,0,0.0
MGI:2445094,PLEKHA7,27049,27,13.0,14,0,0.0
MGI:2145541,H3C12,4774,25,11.0,14,0,0.0
MGI:88458,COL5A2,2210,22,9.0,13,0,0.0
MGI:88460,COL6A2,2212,22,9.0,13,0,0.0
MGI:88453,COL3A1,2201,36,23.0,13,0,0.0
MGI:1914939,ALDH3B1,410,24,11.0,13,0,0.0
MGI:98731,TGM2,11778,46,33.0,13,0,0.0
MGI:1338033,SPINT1,11246,20,7.0,13,0,0.0
MGI:1353450,ALDH1A1,402,21,8.0,13,0,0.0
MGI:88459,COL6A1,2211,22,10.0,12,0,0.0
MGI:88456,COL4A5,2207,17,5.0,12,0,0.0
MGI:109277,PIK3R3,8981,22,10.0,12,0,0.0
MGI:1353451,ALDH3A1,405,23,11.0,12,0,0.0
MGI:2385067,LIMS2,16084,18,7.0,11,0,0.0
MGI:1316649,SPHK1,11240,50,39.0,11,0,0.0
MGI:94866,DBP,2697,21,10.0,11,0,0.0
MGI:1915274,H2BC10,4756,22,11.0,11,0,0.0
MGI:2448380,H2BC8,4746,22,11.0,11,0,0.0
MGI:97531,PDGFRB,8804,47,37.0,10,0,0.0
MGI:3027157,KNG1,6383,25,15.0,10,0,0.0
MGI:97362,NOS3,7876,37,27.0,10,0,0.0
MGI:87902,ACTA1,129,19,10.0,9,0,0.0
MGI:1914930,SDHB,10681,17,8.0,9,0,0.0
MGI:1928745,SLC4A8,11034,21,12.0,9,0,0.0
MGI:2448355,H3C15,20505,15,6.0,9,0,0.0
MGI:1351872,SLCO2B1,10962,22,13.0,9,0,0.0
MGI:2152214,PIP4K2C,23786,23,15.0,8,0,0.0
MGI:96544,CASP1,1499,42,34.0,8,0,0.0
MGI:99607,ABCA1,29,51,43.0,8,0,0.0
MGI:1347244,AXL,905,41,33.0,8,0,0.0
MGI:96650,JUP,6207,45,37.0,8,0,0.0
MGI:88476,CP,2295,16,8.0,8,0,0.0
MGI:96623,ITPR1,6180,24,16.0,8,0,0.0
MGI:1932288,EGLN3,14661,21,14.0,7,0,0.0
MGI:2138302,IFI16,5395,36,29.0,7,0,0.0
MGI:88111,ATP2B4,817,45,38.0,7,0,0.0
MGI:2446630,AGO1,3262,31,24.0,7,0,0.0
MGI:1916604,SLC38A4,14679,16,9.0,7,0,0.0
MGI:98973,XDH,12805,33,27.0,6,0,0.0
MGI:94917,DPEP1,3002,25,19.0,6,0,0.0
MGI:1353586,LMO7,6646,12,6.0,6,0,0.0
MGI:88315,CCND3,1585,21,15.0,6,0,0.0
MGI:95802,GPT,4552,8,2.0,6,0,0.0
MGI:1354721,SLC25A13,10983,21,15.0,6,0,0.0
MGI:95636,GALC,4115,9,3.0,6,0,0.0
MGI:96055,PTPN6,9658,31,25.0,6,0,0.0
MGI:96551,IL2RG,6010,23,17.0,6,0,0.0
MGI:2442798,DHRS9,16888,18,12.0,6,0,0.0
MGI:103077,STX3,11438,31,26.0,5,0,0.0
MGI:97302,NEDD9,7733,21,16.0,5,0,0.0
MGI:893575,PLSCR1,9092,44,39.0,5,0,0.0
MGI:101863,ALDOC,418,13,8.0,5,0,0.0
MGI:2444797,XYLT2,15517,11,6.0,5,0,0.0
MGI:1194898,PPL,9273,15,10.0,5,0,0.0
MGI:105307,PTPN3,9655,17,12.0,5,0,0.0
MGI:102935,POU6F1,9224,13,8.0,5,0,0.0
MGI:2683546,SSH3,30581,11,6.0,5,0,0.0
MGI:88348,CD9,1709,16,11.0,5,0,0.0
MGI:95558,FLT1,3763,30,25.0,5,0,0.0
MGI:1933754,NEDD4L,7728,33,28.0,5,0,0.0
MGI:1923437,ADHFE1,16354,9,4.0,5,0,0.0
MGI:96108,HLF,4977,16,11.0,5,0,0.0
MGI:95487,FBLN1,3600,26,21.0,5,0,0.0
MGI:105933,RAB3IP,16508,12,7.0,5,0,0.0
MGI:95484,FAS,11920,35,30.0,5,0,0.0
MGI:88450,COL17A1,2194,13,8.0,5,0,0.0
MGI:1339998,EFEMP1,3218,18,14.0,4,0,0.0
MGI:1915384,UPF3B,20439,15,11.0,4,0,0.0
MGI:2180781,SLC8B1,26175,17,13.0,4,0,0.0
MGI:88038,FABP4,3559,9,5.0,4,0,0.0
MGI:1914500,UBE2L6,12490,15,11.0,4,0,0.0
MGI:2138828,EPS8L2,21296,18,14.0,4,0,0.0
MGI:700011,SH3GL3,10832,10,6.0,4,0,0.0
MGI:894668,SERPINB9,8955,23,19.0,4,0,0.0
MGI:106603,SERPINB9,8955,23,19.0,4,0,0.0
MGI:1919260,SERPINB9,8955,23,19.0,4,0,0.0
MGI:1913451,VTA1,20954,12,8.0,4,0,0.0
MGI:104596,PROCR,9452,10,6.0,4,0,0.0
MGI:894672,SERPINB9,8955,23,19.0,4,0,0.0
MGI:1913650,ALKBH7,21306,10,6.0,4,0,0.0
MGI:2685619,SYCP3,18130,10,6.0,4,0,0.0
MGI:1195266,TNFAIP6,11898,19,15.0,4,0,0.0
MGI:1915643,MOGAT1,18210,8,4.0,4,0,0.0
MGI:1919769,PIP4P2,25452,10,7.0,3,0,0.0
