INFO: [2023-11-24 22:30:37] genewalk.resources - Using /home/z3533223/genewalk/resources as resource folder.
WARNING: [2023-11-24 22:30:38] genewalk.gene_lists - Could not get HGNC ID for MGI ID MGI:2651928
WARNING: [2023-11-24 22:30:38] genewalk.gene_lists - Could not get HGNC ID for MGI ID MGI:97538
WARNING: [2023-11-24 22:30:38] genewalk.gene_lists - Could not get HGNC ID for MGI ID MGI:107200
WARNING: [2023-11-24 22:30:38] genewalk.gene_lists - Could not get HGNC ID for MGI ID MGI:1930269
WARNING: [2023-11-24 22:30:38] genewalk.gene_lists - Could not get HGNC ID for MGI ID MGI:5011037
WARNING: [2023-11-24 22:30:38] genewalk.gene_lists - Could not get HGNC ID for MGI ID MGI:3712219
WARNING: [2023-11-24 22:30:38] genewalk.gene_lists - Could not get HGNC ID for MGI ID MGI:1330344
WARNING: [2023-11-24 22:30:38] genewalk.gene_lists - Could not get HGNC ID for MGI ID MGI:1347248
WARNING: [2023-11-24 22:30:38] genewalk.gene_lists - Could not get HGNC ID for MGI ID MGI:3646648
WARNING: [2023-11-24 22:30:38] genewalk.gene_lists - Could not get HGNC ID for MGI ID MGI:3704503
WARNING: [2023-11-24 22:30:38] genewalk.gene_lists - Could not get HGNC ID for MGI ID MGI:4868370
WARNING: [2023-11-24 22:30:38] genewalk.gene_lists - Could not get UniProt ID for HGNC ID 33537
WARNING: [2023-11-24 22:30:38] genewalk.gene_lists - Could not get HGNC ID for MGI ID MGI:3800544
WARNING: [2023-11-24 22:30:38] genewalk.gene_lists - Could not get HGNC ID for MGI ID MGI:3704410
WARNING: [2023-11-24 22:30:38] genewalk.gene_lists - Could not get HGNC ID for MGI ID MGI:3647514
WARNING: [2023-11-24 22:30:38] genewalk.gene_lists - Could not get HGNC ID for MGI ID MGI:2145557
WARNING: [2023-11-24 22:30:38] genewalk.gene_lists - Could not get HGNC ID for MGI ID MGI:3651860
WARNING: [2023-11-24 22:30:38] genewalk.gene_lists - Could not get HGNC ID for MGI ID MGI:3709338
WARNING: [2023-11-24 22:30:38] genewalk.gene_lists - Could not get HGNC ID for MGI ID MGI:2441814
WARNING: [2023-11-24 22:30:38] genewalk.gene_lists - Could not get HGNC ID for MGI ID MGI:2660935
WARNING: [2023-11-24 22:30:38] genewalk.gene_lists - Could not get HGNC ID for MGI ID MGI:3642585
WARNING: [2023-11-24 22:30:38] genewalk.gene_lists - Could not get HGNC ID for MGI ID MGI:3642381
WARNING: [2023-11-24 22:30:38] genewalk.gene_lists - Could not get HGNC ID for MGI ID MGI:3647386
WARNING: [2023-11-24 22:30:38] genewalk.gene_lists - Could not get HGNC ID for MGI ID MGI:88555
INFO: [2023-11-24 22:30:38] genewalk.cli - Saving into /home/z3533223/genewalk/upf3b-all/genes.pkl...
INFO: [2023-11-24 22:30:38] genewalk.nx_mg_assembler - Adding gene edges from Pathway Commons to graph.
INFO: [2023-11-24 22:30:47] genewalk.nx_mg_assembler - Number of PC originating nodes 399
INFO: [2023-11-24 22:30:48] genewalk.nx_mg_assembler - Adding GO annotations for genes in graph.
INFO: [2023-11-24 22:30:59] genewalk.nx_mg_assembler - Adding GO ontology edges to graph.
INFO: [2023-11-24 22:30:59] genewalk.cli - Saving into /home/z3533223/genewalk/upf3b-all/multi_graph.pkl...
INFO: [2023-11-24 22:30:59] genewalk.cli - 1/3
INFO: [2023-11-24 22:30:59] genewalk.deepwalk - Running random walks...
INFO: [2023-11-24 22:31:01] genewalk.deepwalk - Walks for 100/43209 nodes complete in 1.94s
INFO: [2023-11-24 22:31:03] genewalk.deepwalk - Walks for 200/43209 nodes complete in 3.37s
INFO: [2023-11-24 22:31:05] genewalk.deepwalk - Walks for 300/43209 nodes complete in 5.15s
INFO: [2023-11-24 22:31:07] genewalk.deepwalk - Walks for 400/43209 nodes complete in 7.08s
INFO: [2023-11-24 22:31:10] genewalk.deepwalk - Walks for 500/43209 nodes complete in 10.78s
INFO: [2023-11-24 22:31:11] genewalk.deepwalk - Walks for 600/43209 nodes complete in 11.60s
INFO: [2023-11-24 22:31:12] genewalk.deepwalk - Walks for 700/43209 nodes complete in 12.57s
INFO: [2023-11-24 22:31:13] genewalk.deepwalk - Walks for 800/43209 nodes complete in 13.74s
INFO: [2023-11-24 22:31:14] genewalk.deepwalk - Walks for 900/43209 nodes complete in 15.00s
INFO: [2023-11-24 22:31:15] genewalk.deepwalk - Walks for 1000/43209 nodes complete in 15.87s
INFO: [2023-11-24 22:31:16] genewalk.deepwalk - Walks for 1100/43209 nodes complete in 16.63s
INFO: [2023-11-24 22:31:17] genewalk.deepwalk - Walks for 1200/43209 nodes complete in 17.50s
INFO: [2023-11-24 22:31:18] genewalk.deepwalk - Walks for 1300/43209 nodes complete in 18.25s
INFO: [2023-11-24 22:31:18] genewalk.deepwalk - Walks for 1400/43209 nodes complete in 18.99s
INFO: [2023-11-24 22:31:20] genewalk.deepwalk - Walks for 1500/43209 nodes complete in 20.07s
INFO: [2023-11-24 22:31:20] genewalk.deepwalk - Walks for 1600/43209 nodes complete in 20.70s
INFO: [2023-11-24 22:31:21] genewalk.deepwalk - Walks for 1700/43209 nodes complete in 21.52s
INFO: [2023-11-24 22:31:22] genewalk.deepwalk - Walks for 1800/43209 nodes complete in 22.23s
INFO: [2023-11-24 22:31:22] genewalk.deepwalk - Walks for 1900/43209 nodes complete in 22.89s
INFO: [2023-11-24 22:31:23] genewalk.deepwalk - Walks for 2000/43209 nodes complete in 23.46s
INFO: [2023-11-24 22:31:24] genewalk.deepwalk - Walks for 2100/43209 nodes complete in 24.08s
INFO: [2023-11-24 22:31:24] genewalk.deepwalk - Walks for 2200/43209 nodes complete in 24.66s
INFO: [2023-11-24 22:31:27] genewalk.deepwalk - Walks for 2300/43209 nodes complete in 27.07s
INFO: [2023-11-24 22:31:28] genewalk.deepwalk - Walks for 2400/43209 nodes complete in 28.65s
