mgi_id,hgnc_symbol,hgnc_id,go_name,go_id,go_domain,ncon_gene,ncon_go,global_padj,gene_padj,pval,sim,sem_sim,cilow_global_padj,ciupp_global_padj,cilow_gene_padj,ciupp_gene_padj,cilow_pval,ciupp_pval
MGI:1339998,EFEMP1,3218,collagen-containing extracellular matrix,GO:0062023,cellular component,18,32.0,1.025e-01,5.710e-02,1.210e-02,8.883e-01,2.032e-02,9.761e-02,1.076e-01,4.538e-02,7.185e-02,5.808e-03,2.521e-02
MGI:1339998,EFEMP1,3218,regulation of DNA-templated transcription,GO:0006355,biological process,18,22.0,1.025e-01,5.710e-02,1.891e-02,8.525e-01,2.117e-02,9.761e-02,1.076e-01,4.538e-02,7.185e-02,1.205e-02,2.968e-02
MGI:1339998,EFEMP1,3218,post-embryonic eye morphogenesis,GO:0048050,biological process,18,3.0,1.028e-01,5.909e-02,1.877e-02,8.474e-01,3.127e-02,9.828e-02,1.076e-01,5.009e-02,6.971e-02,9.177e-03,3.840e-02
MGI:1339998,EFEMP1,3218,embryonic eye morphogenesis,GO:0048048,biological process,18,4.0,1.068e-01,6.023e-02,2.633e-02,8.046e-01,4.479e-02,1.030e-01,1.107e-01,5.287e-02,6.862e-02,9.919e-03,6.991e-02
MGI:1339998,EFEMP1,3218,extracellular region,GO:0005576,cellular component,18,22.0,1.072e-01,6.304e-02,2.813e-02,8.023e-01,4.090e-02,9.351e-02,1.230e-01,4.271e-02,9.306e-02,1.253e-02,6.313e-02
MGI:1339998,EFEMP1,3218,negative regulation of chondrocyte differentiation,GO:0032331,biological process,18,5.0,1.080e-01,6.524e-02,3.583e-02,7.743e-01,2.722e-02,9.375e-02,1.244e-01,4.660e-02,9.133e-02,2.157e-02,5.953e-02
MGI:1339998,EFEMP1,3218,extracellular exosome,GO:0070062,cellular component,18,88.0,1.118e-01,6.524e-02,4.518e-02,7.436e-01,1.982e-02,9.504e-02,1.315e-01,4.660e-02,9.133e-02,3.138e-02,6.505e-02
MGI:1339998,EFEMP1,3218,extracellular space,GO:0005615,cellular component,18,55.0,1.122e-01,6.304e-02,3.552e-02,7.733e-01,4.461e-02,9.250e-02,1.362e-01,4.271e-02,9.306e-02,1.535e-02,8.221e-02
MGI:1339998,EFEMP1,3218,protein binding,GO:0005515,molecular function,18,373.0,1.139e-01,6.525e-02,4.868e-02,7.340e-01,1.966e-02,9.653e-02,1.344e-01,4.661e-02,9.133e-02,3.407e-02,6.955e-02
MGI:1339998,EFEMP1,3218,camera-type eye development,GO:0043010,biological process,18,4.0,1.172e-01,7.492e-02,4.931e-02,7.316e-01,3.234e-02,9.732e-02,1.412e-01,4.794e-02,1.171e-01,2.759e-02,8.813e-02
