"","fgsea.Geneset"
"1","HALLMARK_ADIPOGENESIS"
"2","HALLMARK_ALLOGRAFT_REJECTION"
"3","HALLMARK_ANDROGEN_RESPONSE"
"4","HALLMARK_ANGIOGENESIS"
"5","HALLMARK_APICAL_JUNCTION"
"6","HALLMARK_APICAL_SURFACE"
"7","HALLMARK_APOPTOSIS"
"8","HALLMARK_BILE_ACID_METABOLISM"
"9","HALLMARK_CHOLESTEROL_HOMEOSTASIS"
"10","HALLMARK_COAGULATION"
"11","HALLMARK_COMPLEMENT"
"12","HALLMARK_DNA_REPAIR"
"13","HALLMARK_E2F_TARGETS"
"14","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"
"15","HALLMARK_ESTROGEN_RESPONSE_EARLY"
"16","HALLMARK_ESTROGEN_RESPONSE_LATE"
"17","HALLMARK_FATTY_ACID_METABOLISM"
"18","HALLMARK_G2M_CHECKPOINT"
"19","HALLMARK_GLYCOLYSIS"
"20","HALLMARK_HEDGEHOG_SIGNALING"
"21","HALLMARK_HEME_METABOLISM"
"22","HALLMARK_HYPOXIA"
"23","HALLMARK_IL2_STAT5_SIGNALING"
"24","HALLMARK_IL6_JAK_STAT3_SIGNALING"
"25","HALLMARK_INFLAMMATORY_RESPONSE"
"26","HALLMARK_INTERFERON_ALPHA_RESPONSE"
"27","HALLMARK_INTERFERON_GAMMA_RESPONSE"
"28","HALLMARK_KRAS_SIGNALING_DN"
"29","HALLMARK_KRAS_SIGNALING_UP"
"30","HALLMARK_MITOTIC_SPINDLE"
"31","HALLMARK_MTORC1_SIGNALING"
"32","HALLMARK_MYC_TARGETS_V1"
"33","HALLMARK_MYC_TARGETS_V2"
"34","HALLMARK_MYOGENESIS"
"35","HALLMARK_NOTCH_SIGNALING"
"36","HALLMARK_OXIDATIVE_PHOSPHORYLATION"
"37","HALLMARK_P53_PATHWAY"
"38","HALLMARK_PANCREAS_BETA_CELLS"
"39","HALLMARK_PEROXISOME"
"40","HALLMARK_PI3K_AKT_MTOR_SIGNALING"
"41","HALLMARK_PROTEIN_SECRETION"
"42","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"
"43","HALLMARK_SPERMATOGENESIS"
"44","HALLMARK_TGF_BETA_SIGNALING"
"45","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"46","HALLMARK_UNFOLDED_PROTEIN_RESPONSE"
"47","HALLMARK_UV_RESPONSE_DN"
"48","HALLMARK_UV_RESPONSE_UP"
"49","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"50","HALLMARK_XENOBIOTIC_METABOLISM"
"51","KEGG_ABC_TRANSPORTERS"
"52","KEGG_ACUTE_MYELOID_LEUKEMIA"
"53","KEGG_ADHERENS_JUNCTION"
"54","KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY"
"55","KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM"
"56","KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION"
"57","KEGG_ALLOGRAFT_REJECTION"
"58","KEGG_ALPHA_LINOLENIC_ACID_METABOLISM"
"59","KEGG_ALZHEIMERS_DISEASE"
"60","KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM"
"61","KEGG_AMINOACYL_TRNA_BIOSYNTHESIS"
"62","KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS"
"63","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION"
"64","KEGG_APOPTOSIS"
"65","KEGG_ARACHIDONIC_ACID_METABOLISM"
"66","KEGG_ARGININE_AND_PROLINE_METABOLISM"
"67","KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC"
"68","KEGG_ASCORBATE_AND_ALDARATE_METABOLISM"
"69","KEGG_ASTHMA"
"70","KEGG_AUTOIMMUNE_THYROID_DISEASE"
"71","KEGG_AXON_GUIDANCE"
"72","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY"
"73","KEGG_BASAL_CELL_CARCINOMA"
"74","KEGG_BASAL_TRANSCRIPTION_FACTORS"
"75","KEGG_BASE_EXCISION_REPAIR"
"76","KEGG_BETA_ALANINE_METABOLISM"
"77","KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS"
"78","KEGG_BLADDER_CANCER"
"79","KEGG_BUTANOATE_METABOLISM"
"80","KEGG_CALCIUM_SIGNALING_PATHWAY"
"81","KEGG_CARDIAC_MUSCLE_CONTRACTION"
"82","KEGG_CELL_ADHESION_MOLECULES_CAMS"
"83","KEGG_CELL_CYCLE"
"84","KEGG_CHEMOKINE_SIGNALING_PATHWAY"
"85","KEGG_CHRONIC_MYELOID_LEUKEMIA"
"86","KEGG_CIRCADIAN_RHYTHM_MAMMAL"
