"gene_id"	"logFC.x"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"contrast"	"gene.x"	"genename"	"entrez.x"	"type.x"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"gene.y"	"entrez.y"	"type.y"	"tx_id"	"Length"	"EffectiveLength"	"Overdispersion"	"logFC.y"	"logCPM"	"F"	"PValue"	"FDR"	"Results"	"tx_version"	"NIF_dEJ"	"NIF_uORF"	"NIF_long_3utr"	"NIF|__|GC(cds[-10:termination_codon])"	"GC_5utr"	"GC_cds"	"GC_3utr"	"GC_exons"	"GC_introns"	"LENGTH_5utr"	"LENGTH_cds"	"LENGTH_3utr"	"LENGTH_exons"	"LENGTH_introns"	"EXONS_count"	"dEJs|__|penultimate-exon>=55(nts)"	"uORFs|__|count"	"uORFs|__|gc-content"	"uORFs|__|lengths"	"uORFs|__|max-length"	"nif_feature"	"tx_biotype"	"nif"	"mgis"
"1"	"ENSMUSG00000029816"	1.56968746789359	6.6942531181949	33.4400087893585	5.92037408661431e-16	2.14633295220058e-12	26.5242749020565	"UPF3B_vs_Control"	"Gpnmb"	"glycoprotein (transmembrane) nmb"	"93695"	"protein-coding"	10355.3663976019	0.812192228238898	0.0577057225772265	14.0747259017848	5.43150735256961e-45	1.34755697417252e-41	"Gpnmb"	"93695"	"protein-coding"	"ENSMUST00000031840"	3701	3428.094	1.74658283817395	1.57593126141763	7.95997405955609	1357.76141526442	1.60071942400466e-23	6.55222481827828e-19	1	"ENSMUST00000031840.10"	"0"	"0"	"1"	0.4	0.583333333333333	0.533913043478261	0.455032119914347	"[0.5955056179775281, 0.5228758169934641, 0.5208333333333334, 0.5517241379310345, 0.4779874213836478, 0.5218579234972678, 0.42424242424242425, 0.5825242718446602, 0.5885167464114832, 0.5425531914893617, 0.4619188921859545]"	"[0.46267157683294274, 0.4735376044568245, 0.468213058419244, 0.39614325068870526, 0.5335689045936396, 0.4324090121317158, 0.49320388349514566, 0.44138929088277856, 0.46688925987757374, 0.36771300448430494]"	108	1725	1868	"[178, 153, 144, 174, 159, 366, 99, 103, 209, 94, 2022]"	"[5974, 1077, 1164, 1815, 283, 2308, 515, 691, 3594, 446]"	11	NA	0	""	""	NA	"One"	"protein_coding"	"NIF+"	"MGI:MGI:1934765"
"2"	"ENSMUSG00000028221"	0.843495083314344	4.78833000550491	22.0594424344145	3.43996490260962e-13	6.23550971346371e-10	20.5137991582797	"UPF3B_vs_Control"	"Pip4p2"	"phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2"	"72519"	"protein-coding"	1535.7209437605	0.858992802185338	0.0835504059093681	10.2811326029599	8.57143463554433e-25	1.21518453318774e-21	"Pip4p2"	"72519"	"protein-coding"	"ENSMUST00000029875"	2339	2066.094	1.00217270673678	0.849523445540019	5.95115084095887	317.330032439717	7.72588301669384e-16	1.53628856074871e-12	1	"ENSMUST00000029875.4"	"0"	"1"	"1"	0.3	0.7265625	0.501291989664083	0.349121466768526	"[0.6933701657458563, 0.4899328859060403, 0.4485981308411215, 0.5483870967741935, 0.4339622641509434, 0.5054945054945055, 0.35925671025464556]"	"[0.417270094134685, 0.39719789842381786, 0.35764235764235763, 0.39257503949447076, 0.38172260412454506, 0.4063280599500416]"	256	774	1309	"[362, 149, 107, 124, 53, 91, 1453]"	"[22096, 5710, 1001, 8862, 9892, 1201]"	7	NA	1	"[0.7466666666666667]"	"[75]"	75	"Two"	"protein_coding"	"NIF+"	"MGI:MGI:1919769"
"3"	"ENSMUSG00000034993"	0.799343945451837	7.29964314299325	21.4520527531957	5.25011932827349e-13	8.15718540204321e-10	20.1922245512614	"UPF3B_vs_Control"	"Vat1"	"vesicle amine transport 1"	"26949"	"protein-coding"	7130.50559126642	0.549915774539232	0.0822020918120156	6.68980268527485	2.23471705226861e-11	4.34849647582621e-09	"Vat1"	"26949"	"protein-coding"	"ENSMUST00000040430"	2766	2493.094	1	0.805409704759883	8.76050213960536	376.432619500343	1.02494913949879e-16	3.22724947131568e-13	1	"ENSMUST00000040430.8"	"0"	"0"	"1"	0.6	0.65979381443299	0.620802620802621	0.573895027624309	"[0.7112810707456979, 0.5480769230769231, 0.5847953216374269, 0.5555555555555556, 0.5909090909090909, 0.5704960835509139]"	"[0.5171748359706677, 0.5172413793103449, 0.5980392156862745, 0.4604179860671311, 0.59]"	97	1221	1448	"[523, 208, 171, 90, 242, 1532]"	"[2591, 348, 102, 1579, 100]"	6	NA	0	""	""	NA	"One"	"protein_coding"	"NIF+"	"MGI:MGI:1349450"
"4"	"ENSMUSG00000031776"	0.687888203632799	6.06541228204085	20.8156196828507	8.27699092582666e-13	1.12525691636613e-09	19.7369622705307	"UPF3B_vs_Control"	"Arl2bp"	"ADP-ribosylation factor-like 2 binding protein"	"107566"	"protein-coding"	1336.4014489099	0.490404520454027	0.0999493254497489	4.90653156734495	9.27010747866754e-07	5.47598491775575e-05	"Arl2bp"	"107566"	"protein-coding"	"ENSMUST00000034228"	2063	1790.094	1.08771877531238	0.710307446060629	6.8458851016319	254.401231970466	1.01681429456583e-14	1.34262127482139e-11	1	"ENSMUST00000034228.16"	"0"	"0"	"1"	0.7	0.776515151515151	0.475609756097561	0.48814078041316	"[0.7483443708609272, 0.45161290322580644, 0.34579439252336447, 0.5348837209302325, 0.4948453608247423, 0.49112845990063875]"	"[0.5223021582733813, 0.4436513899323817, 0.45674740484429066, 0.5139500734214391, 0.45454545454545453]"	264	492	1307	"[302, 62, 107, 86, 97, 1409]"	"[695, 2662, 867, 681, 858]"	6	NA	0	""	""	NA	"One"	"protein_coding"	"NIF+"	"MGI:MGI:1349429"
"5"	"ENSMUSG00000045362"	0.799698943619126	5.73007044855448	20.2292897351895	1.2737269749426e-12	1.38530545794757e-09	19.3049092360671	"UPF3B_vs_Control"	"Tnfrsf26"	"tumor necrosis factor receptor superfamily, member 26"	"244237"	"protein-coding"	3811.12182704963	0.46781377167952	0.0854439352017715	5.47509627892023	4.37273799737172e-08	3.70897879366811e-06	"Tnfrsf26"	"244237"	"protein-coding"	"ENSMUST00000055723"	3107	2834.094	1.13682786752403	0.806109146549733	7.20219484624241	288.347347901308	2.37322929363317e-15	4.22362585549072e-12	1	"ENSMUST00000055723.9"	"0"	"0"	"1"	0.3	0.432432432432432	0.47479674796748	0.431331373372533	"[0.4807692307692308, 0.4431818181818182, 0.4728682170542636, 0.5178571428571429, 0.5324675324675324, 0.3953488372093023, 0.3888888888888889, 0.4316096747289408]"	"[0.43014222540934627, 0.504424778761062, 0.5042016806722689, 0.453516295025729, 0.4536634325861492, 0.44329896907216493, 0.4758842443729904]"	111	615	2381	"[156, 88, 129, 112, 77, 129, 18, 2398]"	"[8367, 904, 357, 2915, 2989, 97, 1555]"	8	NA	0	""	""	NA	"One"	"protein_coding"	"NIF+"	"MGI:MGI:2651928"
"6"	"ENSMUSG00000041895"	1.11879542598579	3.59292836054681	19.8770133525752	1.65957319401606e-12	1.64086527801079e-09	18.8334898431804	"UPF3B_vs_Control"	"Wipi1"	"WD repeat domain, phosphoinositide interacting 1"	"52639"	"protein-coding"	3354.59422425361	0.469504331379626	0.0955832546937733	4.91199355874426	9.0155015414276e-07	5.35747528725315e-05	"Wipi1"	"52639"	"protein-coding"	"ENSMUST00000047186"	3338	3065.094	1.56155024025701	1.04148017250675	2.769472625557	69.3913299759727	1.01025617599418e-08	1.64098476396705e-06	1	"ENSMUST00000047186.10"	"0"	"0"	"1"	0.4	0.791666666666667	0.531202435312024	0.490546218487395	"[0.735, 0.5060240963855421, 0.4764705882352941, 0.44329896907216493, 0.5, 0.5806451612903226, 0.5070422535211268, 0.5277777777777778, 0.5818181818181818, 0.5370370370370371, 0.5126050420168067, 0.4950641658440276]"	"[0.47863247863247865, 0.455435847208619, 0.4926618260466553, 0.4706129303106633, 0.511326860841424, 0.47206385404789053, 0.5625965996908809, 0.5205426356589147, 0.46742671009771986, 0.4807370184254606, 0.539568345323741]"	120	1314	1904	"[200, 83, 170, 97, 98, 93, 71, 108, 165, 108, 119, 2026]"	"[5265, 2042, 6473, 11910, 927, 877, 647, 2580, 1228, 597, 417]"	12	NA	0	""	""	NA	"One"	"protein_coding"	"NIF+"	"MGI:MGI:1261864"
"7"	"ENSMUSG00000031983"	0.822261411755183	5.010918928072	17.3647543514374	1.2551846900009e-11	6.71946616343296e-09	17.0459227038202	"UPF3B_vs_Control"	"2310022B05Rik"	"RIKEN cDNA 2310022B05 gene"	"69551"	"protein-coding"	1867.10997101908	0.855282666372768	0.160843331783845	5.31748911743614	1.05208974918189e-07	8.22121155187485e-06	"2310022B05Rik"	"69551"	"protein-coding"	"ENSMUST00000034464"	3307	3034.094	1	0.831552069564149	6.73196200579462	286.815188872872	2.52550672763707e-15	4.30735695343201e-12	1	"ENSMUST00000034464.8"	"0"	"0"	"1"	0.4	0.801075268817204	0.637770897832817	0.520446096654275	"[0.7509578544061303, 0.5490196078431373, 0.6152380952380953, 0.5178813942960616]"	"[0.49308594433747593, 0.5040408336877924, 0.5470692717584369]"	186	969	2152	"[522, 51, 525, 2209]"	"[11426, 11755, 1126]"	4	NA	0	""	""	NA	"One"	"protein_coding"	"NIF+"	"MGI:MGI:1916801"
"8"	"ENSMUSG00000030830"	0.954398419471037	3.74128223984834	16.1447994952875	3.6986418995634e-11	1.60905717198606e-08	15.939783163107	"UPF3B_vs_Control"	"Itgal"	"integrin alpha L"	"16408"	"protein-coding"	1838.4214877534	0.315497942558841	0.0814400385356097	3.87399058536656	0.000107067550562114	0.00298465834769218	"Itgal"	"16408"	"protein-coding"	"ENSMUST00000118405"	3909	3636.094	1.14865609181702	0.973663697736659	5.46123532868519	282.44312446903	3.02104257524085e-15	4.94641342929335e-12	1	"ENSMUST00000118405.2"	"0"	"0"	"1"	0.4	0.464285714285714	0.558311575282855	0.490504256712508	"[0.4854368932038835, 0.5921052631578947, 0.5362318840579711, 0.5909090909090909, 0.6030534351145038, 0.5900621118012422, 0.5789473684210527, 0.4482758620689655, 0.5555555555555556, 0.49295774647887325, 0.5774647887323944, 0.5495495495495496, 0.525, 0.5172413793103449, 0.5, 0.5614035087719298, 0.6140350877192983, 0.5588235294117647, 0.5729166666666666, 0.5495495495495496, 0.49466192170818507]"	"[0.49822695035460995, 0.5397923875432526, 0.4955947136563877, 0.5354330708661418, 0.46708595387840673, 0.5978260869565217, 0.45147529328119446, 0.4948135069521077, 0.6116504854368932, 0.5335195530726257, 0.46409989594172735, 0.5519125683060109, 0.6, 0.523298969072165, 0.47512437810945274, 0.5202020202020202, 0.6082474226804123, 0.4761194029850746, 0.5773026315789473, 0.463574097135741]"	84	2298	1527	"[103, 152, 138, 198, 131, 161, 152, 87, 54, 71, 142, 111, 80, 87, 76, 114, 57, 102, 96, 111, 1686]"	"[564, 289, 454, 127, 2385, 92, 2813, 4531, 103, 358, 1922, 366, 95, 2425, 402, 198, 97, 670, 608, 3212]"	21	NA	0	""	""	NA	"One"	"protein_coding"	"NIF+"	"MGI:MGI:96606"
"9"	"ENSMUSG00000030830"	0.954398419471037	3.74128223984834	16.1447994952875	3.6986418995634e-11	1.60905717198606e-08	15.939783163107	"UPF3B_vs_Control"	"Itgal"	"integrin alpha L"	"16408"	"protein-coding"	1838.4214877534	0.315497942558841	0.0814400385356097	3.87399058536656	0.000107067550562114	0.00298465834769218	"Itgal"	"16408"	"protein-coding"	"ENSMUST00000106306"	5195	4922.094	3.65489643132405	0.843342738659382	0.173210365853879	10.7394086643492	0.0030410647095736	0.0419548019001091	1	"ENSMUST00000106306.9"	"0"	"0"	"1"	0.4	0.601123595505618	0.546288334766409	0.490183246073298	"[0.5879828326180258, 0.54, 0.6210526315789474, 0.5147058823529411, 0.559322033898305, 0.4351145038167939, 0.48322147651006714, 0.5488721804511278, 0.423841059602649, 0.5405405405405406, 0.6165413533834586, 0.5921052631578947, 0.5362318840579711, 0.5909090909090909, 0.6030534351145038, 0.5900621118012422, 0.5789473684210527, 0.45555555555555555, 0.5555555555555556, 0.49295774647887325, 0.5774647887323944, 0.5495495495495496, 0.525, 0.5172413793103449, 0.5, 0.5614035087719298, 0.6140350877192983, 0.5588235294117647, 0.5729166666666666, 0.5495495495495496, 0.4943687018375815]"	"[0.556672760511883, 0.46806167400881055, 0.5963302752293578, 0.466789667896679, 0.49137931034482757, 0.4894179894179894, 0.5005409304002885, 0.5642857142857143, 0.4694035631293571, 0.5978260869565217, 0.48672019765287217, 0.5397923875432526, 0.4955947136563877, 0.5354330708661418, 0.46708595387840673, 0.5978260869565217, 0.45147529328119446, 0.49469964664310956, 0.6116504854368932, 0.5335195530726257, 0.46409989594172735, 0.5519125683060109, 0.6, 0.523298969072165, 0.47512437810945274, 0.5202020202020202, 0.6082474226804123, 0.4761194029850746, 0.5773026315789473, 0.463574097135741]"	178	3489	1528	"[233, 100, 95, 68, 118, 131, 149, 133, 151, 74, 133, 152, 138, 198, 131, 161, 152, 90, 54, 71, 142, 111, 80, 87, 76, 114, 57, 102, 96, 111, 1687]"	"[1094, 1816, 109, 1084, 116, 756, 2773, 140, 1291, 92, 3238, 289, 454, 127, 2385, 92, 2813, 4528, 103, 358, 1922, 366, 95, 2425, 402, 198, 97, 670, 608, 3212]"	31	NA	0	""	""	NA	"One"	"protein_coding"	"NIF+"	"MGI:MGI:96606"
"10"	"ENSMUSG00000025212"	0.739997535241124	5.16089256792285	15.394445127528	7.46005876318786e-11	2.89769996815826e-08	15.270564113027	"UPF3B_vs_Control"	"Sfxn3"	"sideroflexin 3"	"94280"	"protein-coding"	2137.77511810155	0.417157282575235	0.102963782195963	4.05149532853495	5.08913423923665e-05	0.00158321530376754	"Sfxn3"	"94280"	"protein-coding"	"ENSMUST00000062213"	2867	2594.094	1.95107098037901	0.773106931510406	5.38755054891273	170.91145783229	9.22523208175962e-13	5.39452035432381e-10	1	"ENSMUST00000062213.13"	"0"	"1"	"1"	0.6	0.627272727272727	0.564182194616977	0.491374182034503	"[0.631336405529954, 0.524390243902439, 0.5672514619883041, 0.5050505050505051, 0.5921052631578947, 0.627906976744186, 0.578125, 0.5, 0.74, 0.5625, 0.4932508436445444]"	"[0.5185490519373455, 0.5273109243697479, 0.4952076677316294, 0.5386996904024768, 0.52, 0.47354497354497355, 0.5989304812834224, 0.49379652605459057, 0.46735395189003437, 0.6078431372549019]"	220	966	1681	"[217, 164, 171, 99, 76, 86, 128, 50, 50, 48, 1778]"	"[1213, 476, 313, 323, 150, 1134, 187, 1209, 582, 255]"	11	NA	1	"[0.6111111111111112]"	"[54]"	54	"Two"	"protein_coding"	"NIF+"	"MGI:MGI:2137679"
