"","tx_id","Length","EffectiveLength","Overdispersion","logFC","logCPM","F.x","PValue","FDR","Results","tx_version","NIF_dEJ","NIF_uORF","NIF_long_3utr","NIF|__|GC(cds[-10:termination_codon])","GC_5utr","GC_cds","GC_3utr","GC_exons","GC_introns","LENGTH_5utr","LENGTH_cds","LENGTH_3utr","LENGTH_exons","LENGTH_introns","EXONS_count","dEJs|__|penultimate-exon>=55(nts)","uORFs|__|count","uORFs|__|gc-content","uORFs|__|lengths","uORFs|__|max-length","nif_feature","gene_id","gene.x","A","Coef.UPF3B_vs_Control","Coef.UPF3A_vs_Control","Coef.UPF3A_OE_vs_Control","Coef.DoubleKD_vs_Control","Coef.UPF3A_OE_UPF3B_KD_vs_Control","t.UPF3B_vs_Control","t.UPF3A_vs_Control","t.UPF3A_OE_vs_Control","t.DoubleKD_vs_Control","t.UPF3A_OE_UPF3B_KD_vs_Control","p.value.UPF3B_vs_Control","p.value.UPF3A_vs_Control","p.value.UPF3A_OE_vs_Control","p.value.DoubleKD_vs_Control","p.value.UPF3A_OE_UPF3B_KD_vs_Control","p.value.adj.UPF3B_vs_Control","p.value.adj.UPF3A_vs_Control","p.value.adj.UPF3A_OE_vs_Control","p.value.adj.DoubleKD_vs_Control","p.value.adj.UPF3A_OE_UPF3B_KD_vs_Control","F.y","F.p.value","Res.UPF3B_vs_Control","Res.UPF3A_vs_Control","Res.UPF3A_OE_vs_Control","Res.DoubleKD_vs_Control","Res.UPF3A_OE_UPF3B_KD_vs_Control","gene.y","entrez"
"1","ENSMUST00000103122",3596,3323.094,1.01568883022398,1.66407014468926,5.92153975701883,905.990349959661,2.40183588561922e-21,9.83143483060516e-17,1,"ENSMUST00000103122.10","0","0","1",0.7,0.772058823529412,0.575934012615235,0.544674767691208,"[0.7602739726027398, 0.6166666666666667, 0.5843621399176955, 0.5126050420168067, 0.5736434108527132, 0.5842696629213483, 0.5661764705882353, 0.6153846153846154, 0.5555555555555556, 0.6, 0.5403726708074534, 0.5620437956204379, 0.547741935483871]","[0.540436456996149, 0.5409147095179233, 0.49850126815771273, 0.5286473715298287, 0.5239130434782608, 0.5400641025641025, 0.5741379310344827, 0.4929906542056075, 0.4715178243292907, 0.5264667535853976, 0.5205959684487291, 0.4759776536312849]",136,2061,1399,"[146, 180, 243, 119, 129, 178, 136, 104, 243, 270, 161, 137, 1550]","[3116, 4045, 4337, 1693, 920, 1872, 580, 1284, 2721, 3835, 1141, 895]",13,NA,0,"","",NA,"One","ENSMUSG00000037820","Tgm2",3.94,0.893,1.664,-0.045,1.816,0.7,10.75,21.16,-0.49,23.19,8.32,0,0,0.6308,0,0,1e-06,0,0.94433,0,1.9e-05,204.2,0,1,1,0,1,1,"Tgm2","21817"
"2","ENSMUST00000001147",4100,3827.094,1.01401974389502,-1.02694965591447,8.70238618830135,620.191404679524,2.50264907958415e-19,2.04881869549236e-15,-1,"ENSMUST00000001147.5","0","0","0",0.6,0.615686274509804,0.578947368421053,0.500651890482399,"[0.6189111747851003, 0.5307692307692308, 0.6069651741293532, 0.55625, 0.5348837209302325, 0.3333333333333333, 0.42857142857142855, 0.7111111111111111, 0.6296296296296297, 0.6, 0.5925925925925926, 0.5185185185185185, 0.6444444444444445, 0.6296296296296297, 0.5873015873015873, 0.6190476190476191, 0.6111111111111112, 0.6666666666666666, 0.6825396825396826, 0.6507936507936508, 0.6031746031746031, 0.6507936507936508, 0.6274509803921569, 0.5833333333333334, 0.6031746031746031, 0.5909090909090909, 0.6388888888888888, 0.40540540540540543, 0.6666666666666666, 0.5, 0.6, 0.5597826086956522, 0.5056179775280899, 0.4, 0.5381294964028777]","[0.5539280958721704, 0.5513950073421439, 0.5457142857142857, 0.5598591549295775, 0.5378151260504201, 0.564935064935065, 0.5121951219512195, 0.4867601246105919, 0.5584988962472406, 0.4957983193277311, 0.5701149425287356, 0.5656565656565656, 0.5692307692307692, 0.5074626865671642, 0.5421686746987951, 0.5833333333333334, 0.5051546391752577, 0.5504322766570605, 0.5544303797468354, 0.5447680690399137, 0.5023474178403756, 0.5454545454545454, 0.5096153846153846, 0.4936708860759494, 0.56, 0.47393364928909953, 0.5099009900990099, 0.5048231511254019, 0.5701943844492441, 0.444253859348199, 0.6111111111111112, 0.6363636363636364, 0.5034129692832765, 0.6036585365853658]",255,3078,767,"[349, 130, 201, 160, 129, 21, 21, 45, 54, 45, 27, 27, 45, 54, 63, 63, 54, 36, 63, 63, 63, 63, 51, 36, 63, 66, 36, 37, 9, 134, 110, 184, 178, 30, 1390]","[751, 1362, 1400, 284, 119, 154, 82, 1284, 453, 119, 435, 99, 260, 201, 332, 84, 97, 347, 395, 927, 213, 286, 208, 237, 175, 211, 404, 311, 463, 583, 108, 143, 586, 164]",35,NA,0,"","",NA,"None","ENSMUSG00000001119","Col6a1",6.58,-0.823,-1.048,-0.052,-1.543,-0.885,-19.22,-24.35,-1.23,-35.15,-20.67,0,0,0.23517,0,0,0,0,0.786488,0,0,375.62,0,-1,-1,0,-1,-1,"Col6a1","12833"
"3","ENSMUST00000001667",991,718.124,1.11567979743043,2.17613112246849,4.46080694188814,547.405291898932,1.14084875443604e-18,7.7830603442217e-15,1,"ENSMUST00000001667.13","0","0","0",0.4,0.447619047619048,0.454212454212454,0.373529411764706,"[0.44, 0.3709677419354839, 0.43333333333333335, 0.45528455284552843, 0.38436482084690554]","[0.31695721077654515, 0.33962264150943394, 0.32865168539325845, 0.33317778814745685]",105,546,340,"[100, 62, 30, 492, 307]","[1893, 636, 1424, 2143]",5,NA,0,"","",NA,"None","ENSMUSG00000001622","Csn3",4.67,0.877,2.177,-0.208,2.17,0.744,8.27,21.84,-1.78,21.73,6.96,0,0,0.09405,0,0,1.7e-05,0,0.62488,0,0.000105,210.91,0,1,1,0,1,1,"Csn3","12994"
"4","ENSMUST00000001181",3949,3676.094,1.0653959716913,-1.15792541561988,7.50231471373766,539.738236222649,1.35349020847657e-18,7.91463067193876e-15,-1,"ENSMUST00000001181.13","0","1","0",0.4,0.666666666666667,0.596779388083736,0.543237250554324,"[0.6684210526315789, 0.5491329479768786, 0.5859766277128547, 0.42857142857142855, 0.5909090909090909, 0.5925925925925926, 0.6666666666666666, 0.5925925925925926, 0.5185185185185185, 0.5777777777777777, 0.6666666666666666, 0.6666666666666666, 0.6507936507936508, 0.6333333333333333, 0.6984126984126984, 0.6349206349206349, 0.6507936507936508, 0.6825396825396826, 0.6666666666666666, 0.6666666666666666, 0.5873015873015873, 0.6666666666666666, 0.6944444444444444, 0.5217391304347826, 0.5032679738562091, 0.5584988962472406, 0.5641025641025641, 0.5828571428571429]","[0.4347609561752988, 0.5727272727272728, 0.5507246376811594, 0.4873096446700508, 0.46288906624102155, 0.5945945945945946, 0.5386819484240688, 0.5575221238938053, 0.47191011235955055, 0.5015384615384615, 0.5597189695550351, 0.5459272097053726, 0.5606936416184971, 0.5411522633744856, 0.5390334572490706, 0.580441640378549, 0.5694200351493849, 0.5565031982942431, 0.5013623978201635, 0.5044776119402985, 0.5192012288786483, 0.5428571428571428, 0.4737991266375546, 0.5514705882352942, 0.5177304964539007, 0.5212765957446809, 0.507135184901028]",393,3105,451,"[380, 173, 599, 21, 66, 54, 45, 27, 27, 45, 54, 63, 63, 90, 63, 63, 63, 63, 51, 36, 63, 63, 36, 46, 153, 453, 39, 1050]","[8032, 110, 207, 788, 1253, 111, 349, 226, 89, 325, 427, 577, 173, 486, 538, 317, 569, 469, 367, 335, 651, 175, 458, 136, 141, 94, 6517]",28,NA,1,"[0.625]","[96]",96,"One","ENSMUSG00000020241","Col6a2",5.61,-0.932,-1.17,-0.112,-1.631,-1.038,-19.09,-23.73,-2.39,-31.84,-21.19,0,0,0.03006,0,0,0,0,0.456576,0,0,315,0,-1,-1,0,-1,-1,"Col6a2","12834"
"5","ENSMUST00000000466",1888,1615.094,1.18676610496183,1.10167273140514,7.55279699968003,491.511964735036,4.19597944732151e-18,2.14692533396514e-14,1,"ENSMUST00000000466.13","0","0","0",0.4,0.563380281690141,0.528951486697966,0.485042735042735,"[0.5862068965517241, 0.5178571428571429, 0.5561224489795918, 0.5421686746987951, 0.5392857142857143, 0.510989010989011, 0.5037037037037037, 0.5]","[0.4939467312348668, 0.3563218390804598, 0.4461738002594034, 0.435665914221219, 0.40865384615384615, 0.4380466472303207, 0.46343537414965985]",142,1278,468,"[116, 56, 196, 83, 280, 182, 135, 840]","[1239, 87, 3855, 2215, 1664, 1372, 1176]",8,NA,0,"","",NA,"None","ENSMUSG00000028494","Plin2",7.19,0.702,1.005,-0.195,1.432,0.434,11.61,16.58,-3.2,23.53,7.17,0,0,0.00573,0,0,1e-06,0,0.247176,0,8e-05,203.2,0,1,1,0,1,0,"Plin2","11520"
"6","ENSMUST00000005019",931,658.135,1,1.21891042487338,8.2905773177502,441.395122474589,1.53021791164061e-17,6.26364097771851e-14,1,"ENSMUST00000005019.6","0","0","0",0.6,0.514285714285714,0.510791366906475,0.495575221238938,"[0.4897959183673469, 0.5139664804469274, 0.5470085470085471, 0.5]","[0.5224719101123596, 0.5869565217391305, 0.5561224489795918]",175,417,339,"[245, 179, 117, 390]","[3204, 184, 392]",4,NA,0,"","",NA,"None","ENSMUSG00000004885","Crabp2",8.66,0.923,1.202,0.029,1.722,0.953,14.81,19.06,0.48,26.89,15.25,0,0,0.64053,0,0,0,0,0.945697,0,0,225.34,0,1,1,0,1,1,"Crabp2","12904"
"7","ENSMUST00000027237",4889,4616.094,1.06288515931458,1.97850802088674,2.54888059953955,300.522498783466,1.46321228580561e-15,5.44487895408008e-12,1,"ENSMUST00000027237.12","0","1","1",0.6,0.459016393442623,0.463414634146341,0.440580817730225,"[0.45217391304347826, 0.35526315789473684, 0.4748201438848921, 0.49101796407185627, 0.45652173913043476, 0.4891304347826087, 0.39072847682119205, 0.45454545454545453, 0.41935483870967744, 0.4407894736842105, 0.5217391304347826, 0.4942528735632184, 0.4459591041869523]","[0.3452914798206278, 0.3446054750402576, 0.39622395833333335, 0.41362530413625304, 0.38636363636363635, 0.4231274638633377, 0.4465107714969619, 0.41333333333333333, 0.42378889326506497, 0.45320715036803366, 0.42961845225264067, 0.45614035087719296]",427,1845,2617,"[115, 76, 139, 167, 322, 184, 151, 66, 124, 152, 138, 174, 3081]","[223, 621, 7680, 411, 88, 6088, 5431, 2100, 2539, 951, 4639, 684]",13,NA,4,"[0.4166666666666667, 0.3888888888888889, 0.3939393939393939, 0.5166666666666667]","[36, 36, 33, 60]",60,"Two","ENSMUSG00000026068","Il18rap",0.19,-1.375,1.408,-0.216,0.255,-1.362,-4.17,6.72,-0.82,1.03,-4.16,0.00075,1e-05,0.42415,0.31682,0.00077,0.005781,0.000173,0.893013,0.427357,0.006624,32.56,0,-1,1,0,0,-1,"Il18rap","16174"
"8","ENSMUST00000063690",4281,4008.094,1.02942530034798,2.17658574778194,2.26883028859762,296.115456335091,1.73943980538269e-15,5.93337412947749e-12,1,"ENSMUST00000063690.4","0","0","1",0.5,0.526530612244898,0.471875,0.408647594278284,"[0.5775401069518716, 0.4636118598382749, 0.4980694980694981, 0.4146341463414634, 0.4127272727272727]","[0.4034369885433715, 0.42641509433962266, 0.39915419648666234, 0.4131441806601042]",245,960,3076,"[187, 371, 259, 164, 3300]","[12220, 1060, 3074, 3454]",5,NA,0,"","",NA,"One","ENSMUSG00000027068","Dhrs9",-0.27,0.797,2.142,-0.188,2.735,0.393,4.66,14.41,-0.98,19.08,2.2,0.00028,0,0.34185,0,0.04343,0.002695,0,0.860241,0,0.128417,136.37,0,1,1,0,1,0,"Dhrs9","241452"
"9","ENSMUST00000029041",896,623.144,1,1.26609447542126,5.67398531693127,292.652203425118,1.9959816591281e-15,6.28473209639159e-12,1,"ENSMUST00000029041.6","0","0","0",0.5,0.523076923076923,0.483709273182957,0.310185185185185,"[0.4782608695652174, 0.49710982658959535, 0.5294117647058824, 0.32091097308488614]","[0.4162348877374784, 0.4415156507413509, 0.44925373134328356]",65,399,432,"[138, 173, 102, 483]","[2316, 607, 670]",4,NA,0,"","",NA,"None","ENSMUSG00000062515","Fabp4",6.07,0.74,1.247,-0.031,1.94,0.478,10.53,18,-0.43,28.13,6.75,0,0,0.67331,0,1e-05,1e-06,0,0.953026,0,0.000138,244.34,0,1,1,0,1,0,"Fabp4","11770"
"10","ENSMUST00000005255",5097,4824.094,1.0247424977007,0.817472722916594,5.41363859106571,271.314862299981,4.82303302630057e-15,1.16130124038566e-11,1,"ENSMUST00000005255.9","0","1","1",0.4,0.589430894308943,0.581521739130435,0.417934347477982,"[0.6095238095238096, 0.5821428571428572, 0.6245210727969349, 0.5773195876288659, 0.42574746725969853]","[0.47880265474739264, 0.46128822381262197, 0.45354669214234533, 0.4661520190023753]",246,1104,3747,"[315, 280, 261, 194, 4047]","[14766, 6148, 4187, 1684]",5,NA,1,"[0.6818181818181818]","[66]",66,"Two","ENSMUSG00000005124","Ccn4",2.94,-1.205,0.814,-0.193,-0.282,-1.24,-18.09,16.64,-3.55,-5.06,-18.64,0,0,0.00278,0.00013,0,0,0,0.193525,0.000662,0,340.92,0,-1,1,0,0,-1,"Ccn4","22402"
