HGNC ID	Approved symbol	Approved name	Previous symbols	Status	NCBI Gene ID(supplied by NCBI)	UniProt ID(supplied by UniProt)	Mouse genome database ID(supplied by MGI)	Rat genome database ID(supplied by RGD)	Ensembl gene ID
HGNC:5	A1BG	alpha-1-B glycoprotein		Approved	1	P04217	MGI:2152878	RGD:69417	ENSG00000121410
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	NCRNA00181, A1BGAS, A1BG-AS	Approved	503538				ENSG00000268895
HGNC:24086	A1CF	APOBEC1 complementation factor		Approved	29974	Q9NQ94	MGI:1917115	RGD:619834	ENSG00000148584
HGNC:6	A1S9T	symbol withdrawn, see [HGNC:12469](/data/gene-symbol-report/#!/hgnc_id/HGNC:12469)		Symbol Withdrawn					
HGNC:7	A2M	alpha-2-macroglobulin		Approved	2	P01023	MGI:2449119	RGD:2004	ENSG00000175899
HGNC:27057	A2M-AS1	A2M antisense RNA 1		Approved	144571				ENSG00000245105
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	CPAMD9	Approved	144568	A8K2U0			ENSG00000166535
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1		Approved	100874108				ENSG00000256661
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2		Approved	106478979				ENSG00000256904
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1	A2MP	Approved	3				ENSG00000256069
HGNC:9	A2MR	symbol withdrawn, see [HGNC:6692](/data/gene-symbol-report/#!/hgnc_id/HGNC:6692)		Symbol Withdrawn					
HGNC:10	A2MRAP	symbol withdrawn, see [HGNC:6701](/data/gene-symbol-report/#!/hgnc_id/HGNC:6701)		Symbol Withdrawn					
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	A3GALT2P	Approved	127550	U3KPV4	MGI:2685279	RGD:727913	ENSG00000184389
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P1PK blood group)	P1	Approved	53947	Q9NPC4	MGI:3512453	RGD:621583	ENSG00000128274
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase		Approved	51146	Q9UNA3	MGI:2143261	RGD:1590210	ENSG00000118017
HGNC:1	A12M1	adenovirus-12 chromosome modification site 1C		Entry Withdrawn					
HGNC:2	A12M2	adenovirus-12 chromosome modification site 1A		Entry Withdrawn					
HGNC:3	A12M3	adenovirus-12 chromosome modification site 1B		Entry Withdrawn					
HGNC:4	A12M4	adenovirus-12 chromosome modification site 17		Entry Withdrawn					
HGNC:11	AA	symbol withdrawn, see [HGNC:11714](/data/gene-symbol-report/#!/hgnc_id/HGNC:11714)	AA	Symbol Withdrawn					
HGNC:13666	AAAS	aladin WD repeat nucleoporin		Approved	8086	Q9NRG9	MGI:2443767	RGD:1308701	ENSG00000094914
HGNC:12	AABT	amino acid transport, beta		Entry Withdrawn					
HGNC:13	AAC1	symbol withdrawn, see [HGNC:7645](/data/gene-symbol-report/#!/hgnc_id/HGNC:7645)		Symbol Withdrawn					
HGNC:14	AAC2	symbol withdrawn, see [HGNC:7646](/data/gene-symbol-report/#!/hgnc_id/HGNC:7646)		Symbol Withdrawn					
HGNC:21298	AACS	acetoacetyl-CoA synthetase		Approved	65985	Q86V21	MGI:1926144	RGD:708522	ENSG00000081760
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	AACSL	Approved	729522				ENSG00000250420
HGNC:13792	AACT	symbol withdrawn, see [HGNC:16](/data/gene-symbol-report/#!/hgnc_id/HGNC:16)		Symbol Withdrawn					
HGNC:17	AADAC	arylacetamide deacetylase		Approved	13	P22760	MGI:1915008	RGD:631440	ENSG00000114771
HGNC:24427	AADACL2	arylacetamide deacetylase like 2		Approved	344752	Q6P093	MGI:3646333	RGD:1563197	ENSG00000197953
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1		Approved	101928142				ENSG00000242908
HGNC:32037	AADACL3	arylacetamide deacetylase like 3		Approved	126767	Q5VUY0	MGI:2685281	RGD:1563257	ENSG00000188984
HGNC:32038	AADACL4	arylacetamide deacetylase like 4		Approved	343066	Q5VUY2	MGI:2685282, MGI:2685284, MGI:2685880, MGI:3650257, MGI:3650721, MGI:3652194	RGD:1565761	ENSG00000204518
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1		Approved	201651				ENSG00000240602
HGNC:17929	AADAT	aminoadipate aminotransferase		Approved	51166	Q8N5Z0	MGI:1345167	RGD:2948	ENSG00000109576
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein		Approved	79719	Q6PD74	MGI:1914189	RGD:621601	ENSG00000103591
HGNC:19679	AAK1	AP2 associated kinase 1		Approved	22848	Q2M2I8	MGI:1098687	RGD:1305520	ENSG00000115977
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	C11orf67	Approved	28971	Q9H7C9	MGI:1913523	RGD:1561459	ENSG00000087884
HGNC:18	AAMP	angio associated migratory cell protein		Approved	14	Q13685	MGI:107809	RGD:1306281	ENSG00000127837
HGNC:19	AANAT	aralkylamine N-acetyltransferase		Approved	15	Q16613	MGI:1328365	RGD:2006	ENSG00000129673
HGNC:15886	AAR2	AAR2 splicing factor	C20orf4	Approved	25980	Q9Y312	MGI:1915545	RGD:1311066	ENSG00000131043
HGNC:33842	AARD	alanine and arginine rich domain containing protein	C8orf85	Approved	441376	Q4LEZ3	MGI:2181621	RGD:631378	ENSG00000205002
HGNC:20	AARS1	alanyl-tRNA synthetase 1	AARS	Approved	16	P49588	MGI:2384560	RGD:1304832	ENSG00000090861
HGNC:49894	AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1	AARSP1	Approved	106480683				ENSG00000249038
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	AARSL	Approved	57505	Q5JTZ9	MGI:2681839	RGD:1310617	ENSG00000124608
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1		Approved	80755	Q9BTE6	MGI:1916934	RGD:1561650	ENSG00000266967
HGNC:54994	AARSD1P1	AARSD1 pseudogene 1		Approved	117981788				ENSG00000234969
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase		Approved	132949	Q4L235	MGI:2442517	RGD:1311135	ENSG00000157426
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase		Approved	60496	Q9NRN7	MGI:1914868	RGD:1311360	ENSG00000149313
HGNC:17366	AASS	aminoadipate-semialdehyde synthase		Approved	10157	Q9UDR5	MGI:1353573	RGD:1310811	ENSG00000008311
HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer		Approved	284837				ENSG00000215458
HGNC:19235	AATF	apoptosis antagonizing transcription factor		Approved	26574	Q9NY61	MGI:1929608	RGD:620685	ENSG00000275700
HGNC:21	AATK	apoptosis associated tyrosine kinase		Approved	9625	Q6ZMQ8	MGI:1197518	RGD:1590980	ENSG00000181409
HGNC:22	AAVS1	adeno-associated virus integration site 1		Approved	17				
HGNC:49667	ABALON	apoptotic BCL2L1-antisense long non-coding RNA		Approved	103021294				ENSG00000281376
HGNC:23	ABAT	4-aminobutyrate aminotransferase		Approved	18	P80404	MGI:2443582	RGD:620948	ENSG00000183044
HGNC:24	ABC1	symbol withdrawn, see [HGNC:29](/data/gene-symbol-report/#!/hgnc_id/HGNC:29)		Symbol Withdrawn					
HGNC:25	ABC2	symbol withdrawn, see [HGNC:32](/data/gene-symbol-report/#!/hgnc_id/HGNC:32)		Symbol Withdrawn					
HGNC:26	ABC3	symbol withdrawn, see [HGNC:33](/data/gene-symbol-report/#!/hgnc_id/HGNC:33)		Symbol Withdrawn					
HGNC:28	ABC7	symbol withdrawn, see [HGNC:48](/data/gene-symbol-report/#!/hgnc_id/HGNC:48)		Symbol Withdrawn					
HGNC:27	ABC50	symbol withdrawn, see [HGNC:70](/data/gene-symbol-report/#!/hgnc_id/HGNC:70)		Symbol Withdrawn					
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	ABC1, HDLDT1	Approved	19	O95477	MGI:99607	RGD:631344	ENSG00000165029
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	ABC2	Approved	20	Q9BZC7	MGI:99606	RGD:620238	ENSG00000107331
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	ABC3	Approved	21	Q99758	MGI:1351617	RGD:1307174	ENSG00000167972
HGNC:55707	ABCA3P1	ABCA3 pseudogene 1		Approved	342293				ENSG00000257408
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	STGD1, ABCR, RP19, STGD	Approved	24	P78363	MGI:109424	RGD:1309445	ENSG00000198691
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5		Approved	23461	Q8WWZ7	MGI:2386607	RGD:628661	ENSG00000154265
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6		Approved	23460	Q8N139	MGI:1923434	RGD:1308998	ENSG00000154262
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7		Approved	10347	Q8IZY2	MGI:1351646	RGD:1303134	ENSG00000064687
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8		Approved	10351	O94911	MGI:1351668, MGI:2386846	RGD:1307069	ENSG00000141338
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9		Approved	10350	Q8IUA7	MGI:2386796	RGD:1305931	ENSG00000154258
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1		Approved	104355297				ENSG00000231749
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10		Approved	10349	Q8WWZ4			ENSG00000154263
HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	ABCA11	Approved	79963				ENSG00000251595
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	ICR2B	Approved	26154	Q86UK0	MGI:2676312	RGD:1304586	ENSG00000144452
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13		Approved	154664	Q86UQ4	MGI:2388707	RGD:1305895	ENSG00000179869
HGNC:34405	ABCA15P	ATP binding cassette subfamily A member 15, pseudogene	NCRNA00169, CRYM-AS1	Approved	400508		MGI:2388709		ENSG00000189149
HGNC:32972	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene		Approved	650655		MGI:3625331		ENSG00000238098
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	PGY1, MDR1, CLCS	Approved	5243	P08183	MGI:97568, MGI:97570	RGD:619951	ENSG00000085563
HGNC:11563	ABCB2	symbol withdrawn, see [HGNC:43](/data/gene-symbol-report/#!/hgnc_id/HGNC:43)		Symbol Withdrawn					
HGNC:11564	ABCB3	symbol withdrawn, see [HGNC:44](/data/gene-symbol-report/#!/hgnc_id/HGNC:44)		Symbol Withdrawn					
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	PGY3, MDR3	Approved	5244	P21439	MGI:97569	RGD:620248	ENSG00000005471
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5		Approved	340273	Q2M3G0	MGI:1924956	RGD:1566342	ENSG00000004846
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)		Approved	10058	Q9NP58	MGI:1921354	RGD:71077	ENSG00000115657
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	ABC7	Approved	22	O75027	MGI:109533	RGD:1303086	ENSG00000131269
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8		Approved	11194	Q9NUT2	MGI:1351667	RGD:1307655	ENSG00000197150
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9		Approved	23457	Q9NP78	MGI:1861729	RGD:620254	ENSG00000150967
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10		Approved	23456	Q9NRK6	MGI:1860508	RGD:1311222	ENSG00000135776
HGNC:14114	ABCB10P1	ABCB10 pseudogene 1	ABCB10P, ABCB10P2	Approved	56476				ENSG00000274099
HGNC:31128	ABCB10P2	symbol withdrawn, see [HGNC:14114](/data/gene-symbol-report/#!/hgnc_id/HGNC:14114)		Symbol Withdrawn					
HGNC:31129	ABCB10P3	ABCB10 pseudogene 3		Approved	728248				ENSG00000261524
HGNC:31130	ABCB10P4	ABCB10 pseudogene 4		Approved	100132289				ENSG00000260053
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	BSEP, PFIC2	Approved	8647	O95342	MGI:1351619	RGD:619930	ENSG00000073734
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1 (ABCC1 blood group)	MRP, MRP1	Approved	4363	P33527	MGI:102676	RGD:3112	ENSG00000103222
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	CMOAT	Approved	1244	Q92887	MGI:1352447	RGD:2366	ENSG00000023839
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3		Approved	8714	O15438	MGI:1923658	RGD:71101	ENSG00000108846
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4 (PEL blood group)		Approved	10257	O15439	MGI:2443111	RGD:620266	ENSG00000125257
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5		Approved	10057	O15440	MGI:1351644	RGD:70913	ENSG00000114770
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1		Approved	100873982				ENSG00000223882
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	ARA, PXE	Approved	368	O95255	MGI:1351634	RGD:620268	ENSG00000091262
HGNC:33352	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1		Approved	653190				ENSG00000256340
HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2		Approved	730013				ENSG00000255277
HGNC:58	ABCC7	symbol withdrawn, see [HGNC:1884](/data/gene-symbol-report/#!/hgnc_id/HGNC:1884)		Symbol Withdrawn					
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	SUR, HRINS	Approved	6833	Q09428	MGI:1352629	RGD:3786	ENSG00000006071
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9		Approved	10060	O60706	MGI:1352630	RGD:3787	ENSG00000069431
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10		Approved	89845	Q5T3U5	MGI:2386976	RGD:1306696	ENSG00000124574
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11		Approved	85320	Q96J66			ENSG00000121270
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12		Approved	94160	Q96J65	MGI:2441679	RGD:735100	ENSG00000140798
HGNC:16022	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)		Approved	150000				ENSG00000243064
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	ALD	Approved	215	P33897	MGI:1349215	RGD:1562128	ENSG00000101986
HGNC:62	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1		Approved	23785				
HGNC:63	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2		Approved	26983				ENSG00000215151
